"temperature","humidity","soil_moisture_level","mustasa_classification","petchay_classification","kangkong_classification","pump_irrigation_mustasa","pump_irrigation_pechay","pump_irrigation_kangkong"
36.3,56.4,81,"BAD","BAD","GOOD","OFF","OFF","OFF"
36.4,55.5,81,"BAD","BAD","GOOD","OFF","OFF","OFF"
31.9,76.9,80,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
31.7,75.9,78,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
30.7,67.7,74,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
35.9,56.6,80,"BAD","BAD","GOOD","OFF","OFF","OFF"
35.7,56.6,80,"BAD","BAD","GOOD","OFF","OFF","OFF"
35.6,55.7,80,"BAD","BAD","GOOD","OFF","OFF","OFF"
35.5,56.6,80,"BAD","BAD","GOOD","OFF","OFF","OFF"
35.4,57,80,"BAD","BAD","GOOD","OFF","OFF","OFF"
35.5,57.4,81,"BAD","BAD","GOOD","OFF","OFF","OFF"
35.6,57.4,79,"BAD","BAD","GOOD","OFF","OFF","OFF"
35.8,56.8,80,"BAD","BAD","GOOD","OFF","OFF","OFF"
35.8,62.1,78,"BAD","BAD","GOOD","OFF","OFF","OFF"
35.6,60.9,80,"BAD","BAD","GOOD","OFF","OFF","OFF"
35.7,58.1,79,"BAD","BAD","GOOD","OFF","OFF","OFF"
35.7,62.3,79,"BAD","BAD","GOOD","OFF","OFF","OFF"
35.6,59.6,83,"BAD","BAD","GOOD","OFF","OFF","OFF"
35.7,61.6,80,"BAD","BAD","GOOD","OFF","OFF","OFF"
35.5,58,79,"BAD","BAD","GOOD","OFF","OFF","OFF"
35.6,58.4,80,"BAD","BAD","GOOD","OFF","OFF","OFF"
35.5,59,80,"BAD","BAD","GOOD","OFF","OFF","OFF"
35.5,58.9,79,"BAD","BAD","GOOD","OFF","OFF","OFF"
35.6,58,80,"BAD","BAD","GOOD","OFF","OFF","OFF"
35.5,58.4,80,"BAD","BAD","GOOD","OFF","OFF","OFF"
35.6,61,79,"BAD","BAD","GOOD","OFF","OFF","OFF"
35.6,58.7,80,"BAD","BAD","GOOD","OFF","OFF","OFF"
35.6,61.5,80,"BAD","BAD","GOOD","OFF","OFF","OFF"
29.6,60.1,81,"BAD","BAD","BAD","OFF","OFF","OFF"
28.6,60.7,81,"BAD","BAD","BAD","OFF","OFF","OFF"
28.7,62.9,80,"BAD","GOOD","GOOD","OFF","OFF","OFF"
35.7,59.4,80,"BAD","BAD","GOOD","OFF","OFF","OFF"
28.7,59.3,80,"BAD","BAD","GOOD","OFF","OFF","OFF"
29.7,57.4,80,"BAD","BAD","GOOD","OFF","OFF","OFF"
35.6,57.2,80,"BAD","BAD","GOOD","OFF","OFF","OFF"
35.7,59.6,79,"BAD","BAD","GOOD","OFF","OFF","OFF"
32.9,71.8,78,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
32.9,71.1,72,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
32.9,70.9,78,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
33.1,71.7,77,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
29,70.5,79,"GOOD","GOOD","BAD","OFF","OFF","OFF"
29.2,71.5,93,"BAD","GOOD","BAD","OFF","OFF","OFF"
33.2,70.4,92,"BAD","BAD","GOOD","OFF","OFF","OFF"
33.3,68.9,92,"BAD","BAD","GOOD","OFF","OFF","OFF"
33.3,69.7,92,"BAD","BAD","GOOD","OFF","OFF","OFF"
33.2,69.1,92,"BAD","BAD","GOOD","OFF","OFF","OFF"
33.2,68.7,92,"BAD","BAD","GOOD","OFF","OFF","OFF"
33.1,70.7,93,"BAD","BAD","GOOD","OFF","OFF","OFF"
33,69.6,79,"BAD","BAD","GOOD","OFF","OFF","OFF"
32.9,79.8,92,"BAD","BAD","GOOD","OFF","OFF","OFF"
32.9,78,93,"BAD","BAD","GOOD","OFF","OFF","OFF"
32.9,71.3,70,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
32.9,70.1,70,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
28,70.6,69,"BAD","GOOD","BAD","ON","ON","OFF"
28.9,69.8,69,"BAD","GOOD","BAD","ON","ON","OFF"
29.2,70.4,70,"BAD","GOOD","GOOD","OFF","OFF","OFF"
33.1,71.5,75,"BAD","GOOD","GOOD","OFF","OFF","OFF"
33.2,68.2,73,"BAD","BAD","GOOD","OFF","OFF","OFF"
33.3,70,72,"BAD","GOOD","GOOD","OFF","OFF","OFF"
33.4,69.3,80,"BAD","BAD","GOOD","OFF","OFF","OFF"
33.5,70.9,82,"BAD","GOOD","GOOD","OFF","OFF","OFF"
33.4,68.5,92,"BAD","BAD","GOOD","OFF","OFF","OFF"
33.3,69,91,"BAD","BAD","GOOD","OFF","OFF","OFF"
33.2,68.7,92,"BAD","BAD","GOOD","OFF","OFF","OFF"
33.2,69.9,92,"BAD","BAD","GOOD","OFF","OFF","OFF"
33.2,69.2,92,"BAD","BAD","GOOD","OFF","OFF","OFF"
33.3,69.6,91,"BAD","BAD","GOOD","OFF","OFF","OFF"
33.2,67.9,93,"BAD","BAD","GOOD","OFF","OFF","OFF"
33,70.6,92,"BAD","BAD","GOOD","OFF","OFF","OFF"
33,69.3,93,"BAD","BAD","GOOD","OFF","OFF","OFF"
33,69.8,92,"BAD","BAD","GOOD","OFF","OFF","OFF"
33.1,70.4,92,"BAD","BAD","GOOD","OFF","OFF","OFF"
33.1,69.2,93,"BAD","BAD","GOOD","OFF","OFF","OFF"
33.4,68.8,92,"BAD","BAD","GOOD","OFF","OFF","OFF"
33.3,67.6,91,"BAD","BAD","GOOD","OFF","OFF","OFF"
33.3,69.3,93,"BAD","BAD","GOOD","OFF","OFF","OFF"
33.3,68.6,91,"BAD","BAD","GOOD","OFF","OFF","OFF"
33.3,68.2,92,"BAD","BAD","GOOD","OFF","OFF","OFF"
33.4,68.5,93,"BAD","BAD","GOOD","OFF","OFF","OFF"
33.3,68.2,92,"BAD","BAD","GOOD","OFF","OFF","OFF"
33.3,69.7,93,"BAD","BAD","GOOD","OFF","OFF","OFF"
29.5,70.1,93,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
30.5,76.7,93,"GOOD","GOOD","BAD","OFF","OFF","OFF"
31.9,74.8,92,"GOOD","GOOD","BAD","OFF","OFF","OFF"
32.5,73.5,74,"GOOD","GOOD","BAD","OFF","OFF","OFF"
33.6,67.9,91,"BAD","BAD","GOOD","OFF","OFF","OFF"
33.6,68.6,92,"BAD","BAD","GOOD","OFF","OFF","OFF"
32.4,67.8,82,"BAD","BAD","GOOD","OFF","OFF","OFF"
33.8,68,92,"BAD","BAD","GOOD","OFF","OFF","OFF"
33.7,66.5,87,"BAD","BAD","GOOD","OFF","OFF","OFF"
33.8,66.7,87,"BAD","BAD","GOOD","OFF","OFF","OFF"
33.6,66.5,85,"BAD","BAD","GOOD","OFF","OFF","OFF"
33.6,67.2,87,"BAD","BAD","GOOD","OFF","OFF","OFF"
33.1,76,93,"BAD","BAD","BAD","OFF","OFF","OFF"
33.5,67.3,89,"BAD","BAD","GOOD","OFF","OFF","OFF"
33.5,67.2,86,"BAD","BAD","GOOD","OFF","OFF","OFF"
29.2,82.7,86,"BAD","BAD","GOOD","OFF","OFF","OFF"
35.4,67.8,82,"BAD","BAD","GOOD","OFF","OFF","OFF"
31.4,67.8,82,"BAD","BAD","GOOD","OFF","OFF","OFF"
30.7,78.7,87,"GOOD","BAD","BAD","OFF","OFF","OFF"
31.2,75.3,87,"GOOD","BAD","BAD","OFF","OFF","OFF"
31.3,75.6,87,"GOOD","BAD","BAD","OFF","OFF","OFF"
31.5,74.7,87,"GOOD","BAD","BAD","OFF","OFF","OFF"
31.6,74.4,86,"GOOD","BAD","BAD","OFF","OFF","OFF"
31.5,72.9,87,"GOOD","BAD","BAD","OFF","OFF","OFF"
33.5,70.2,75,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
35.9,56.5,92,"BAD","BAD","GOOD","OFF","OFF","OFF"
35.9,56.6,93,"BAD","BAD","GOOD","OFF","OFF","OFF"
35.5,56.6,93,"BAD","BAD","GOOD","OFF","OFF","OFF"
35.4,57,87,"BAD","BAD","GOOD","OFF","OFF","OFF"
35.5,57.4,93,"BAD","BAD","GOOD","OFF","OFF","OFF"
35.6,55.7,93,"BAD","BAD","GOOD","OFF","OFF","OFF"
35.7,56.6,92,"BAD","BAD","GOOD","OFF","OFF","OFF"
35.6,55.7,93,"BAD","BAD","GOOD","OFF","OFF","OFF"
35.6,57.4,93,"BAD","BAD","GOOD","OFF","OFF","OFF"
35.3,67.3,81,"BAD","BAD","GOOD","OFF","OFF","OFF"
30.9,76.6,93,"GOOD","GOOD","BAD","OFF","OFF","OFF"
30.9,76.7,92,"GOOD","GOOD","BAD","OFF","OFF","OFF"
30.9,76.7,92,"GOOD","GOOD","BAD","OFF","OFF","OFF"
30.9,76.7,92,"GOOD","GOOD","BAD","OFF","OFF","OFF"
30.9,77.2,93,"GOOD","GOOD","BAD","OFF","OFF","OFF"
30.9,77.4,94,"GOOD","GOOD","BAD","OFF","OFF","OFF"
36.2,54.1,92,"BAD","BAD","GOOD","OFF","OFF","OFF"
36.2,54.1,92,"BAD","BAD","GOOD","OFF","OFF","OFF"
36.2,56.1,94,"BAD","BAD","GOOD","OFF","OFF","OFF"
36.1,55.8,93,"BAD","BAD","GOOD","OFF","OFF","OFF"
36.2,56.1,94,"BAD","BAD","GOOD","OFF","OFF","OFF"
36.1,55.8,93,"BAD","BAD","GOOD","OFF","OFF","OFF"
36.3,56.4,92,"BAD","BAD","GOOD","OFF","OFF","OFF"
36.4,55.5,84,"BAD","BAD","GOOD","OFF","OFF","OFF"
30.9,76.9,94,"GOOD","GOOD","BAD","OFF","OFF","OFF"
30.9,77.7,94,"GOOD","GOOD","BAD","OFF","OFF","OFF"
30.9,79.9,94,"GOOD","GOOD","BAD","OFF","OFF","OFF"
30.8,76.7,93,"GOOD","GOOD","BAD","OFF","OFF","OFF"
30.8,76.7,94,"GOOD","GOOD","BAD","OFF","OFF","OFF"
30.9,78,93,"GOOD","GOOD","BAD","OFF","OFF","OFF"
30.8,77,93,"GOOD","GOOD","BAD","OFF","OFF","OFF"
30.8,78.7,94,"GOOD","GOOD","BAD","OFF","OFF","OFF"
30.8,77.1,93,"GOOD","GOOD","BAD","OFF","OFF","OFF"
30.9,77.5,93,"GOOD","GOOD","BAD","OFF","OFF","OFF"
30.8,78,93,"GOOD","GOOD","BAD","OFF","OFF","OFF"
36.3,55.9,92,"BAD","BAD","GOOD","OFF","OFF","OFF"
36.3,56.3,92,"BAD","BAD","GOOD","OFF","OFF","OFF"
36.2,57.9,91,"BAD","BAD","GOOD","OFF","OFF","OFF"
36.1,55.6,92,"BAD","BAD","GOOD","OFF","OFF","OFF"
